question,ground_truth_context,recall_5_without_reranker,recall_5_with_reranker,recall_10_without_reranker,recall_10_with_reranker,time_without_reranker_ms,time_with_reranker_ms,top_3_results_without,top_3_results_with,ttft_ms,total_latency_ms
"After cellulose, what component is most plentiful in wood?","Aside from water, wood has three main components. Cellulose, a crystalline polymer derived from glucose, constitutes about 41–43%. Next in abundance is hemicellulose, which is around 20% in deciduous ...",True,True,True,True,3948.02,2789.47,"Aside from water, wood has three main components. Cellulose, a crystalline polymer derived from gluc; Aside from water, wood has three main components. Cellulose, a crystalline polymer derived from gluc; Wood is a heterogeneous, hygroscopic, cellular and anisotropic material. It consists of cells, and t","Aside from water, wood has three main components. Cellulose, a crystalline polymer derived from gluc; Aside from water, wood has three main components. Cellulose, a crystalline polymer derived from gluc; Aside from water, wood has three main components. Cellulose, a crystalline polymer derived from gluc",,
How much of the Bronx's vote in 1916 did Hughes get?,"Since then, the Bronx has always supported the Democratic Party's nominee for President, starting with a vote of 2-1 for the unsuccessful Al Smith in 1928, followed by four 2-1 votes for the successfu...",True,True,True,True,165.57,287.95,"Since then, the Bronx has always supported the Democratic Party's nominee for President, starting wi; Since then, the Bronx has always supported the Democratic Party's nominee for President, starting wi; The Bronx has often shown striking differences from other boroughs in elections for Mayor. The only ","Since then, the Bronx has always supported the Democratic Party's nominee for President, starting wi; Since then, the Bronx has always supported the Democratic Party's nominee for President, starting wi; Since then, the Bronx has always supported the Democratic Party's nominee for President, starting wi",,
When did Homo sapiens begin using subsistence gathering?,"Hunting and gathering was presumably the subsistence strategy employed by human societies beginning some 1.8 million years ago, by Homo erectus, and from its appearance some 0.2 million years ago by H...",True,True,True,True,162.4,309.27,Hunting and gathering was presumably the subsistence strategy employed by human societies beginning ; Hunting and gathering was presumably the subsistence strategy employed by human societies beginning ; Archaeological evidence shows that Homo erectus lived in the region now known as Myanmar as early as,"Hunting and gathering was presumably the subsistence strategy employed by human societies beginning ; Hunting and gathering was presumably the subsistence strategy employed by human societies beginning ; Hunting-gathering was the common human mode of subsistence throughout the Paleolithic, but the obser",,
When did she say the she is a feminist?,"In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a feminist, to which she said, ""that word can be very extreme... But I guess I am a modern-day feminist. I ...",True,True,True,True,172.16,355.49,"In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a femin; In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a femin; Immanuel Kant (1724–1804) tried to reconcile rationalism and religious belief, individual freedom an","In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a femin; In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a femin; In an interview published by Vogue in April 2013, Beyoncé was asked if she considers herself a femin",,
"Along with Somalo-Islamic architecture, what influences modern Somali architecture?","Somali architecture is a rich and diverse tradition of engineering and designing. It involves multiple different construction types, such as stone cities, castles, citadels, fortresses, mosques, mauso...",True,True,True,True,162.22,301.09,Somali architecture is a rich and diverse tradition of engineering and designing. It involves multip; Somali architecture is a rich and diverse tradition of engineering and designing. It involves multip; The peaceful introduction of Islam in the early medieval era of Somalia's history brought Islamic ar,Somali architecture is a rich and diverse tradition of engineering and designing. It involves multip; Somali architecture is a rich and diverse tradition of engineering and designing. It involves multip; The peaceful introduction of Islam in the early medieval era of Somalia's history brought Islamic ar,,
How many of the Australian Football League's teams are based in the Melbourne metropolitan area?,Australian rules football and cricket are the most popular sports in Melbourne. It is considered the spiritual home of the two sports in Australia. The first official Test cricket match was played at ...,True,True,True,True,182.52,361.93,Australian rules football and cricket are the most popular sports in Melbourne. It is considered the; Australian rules football and cricket are the most popular sports in Melbourne. It is considered the; Australian rules football and cricket are the most popular sports in Melbourne. It is considered the,Australian rules football and cricket are the most popular sports in Melbourne. It is considered the; Australian rules football and cricket are the most popular sports in Melbourne. It is considered the; Australian rules football and cricket are the most popular sports in Melbourne. It is considered the,,
What stations did CBC broadcast in HD in 2005?,"On March 5, 2005, CBC Television launched a high definition simulcast of its Toronto (CBLT-DT) and Montreal (CBMT-DT) stations. Since that time, the network has also launched HD simulcasts in Vancouve...",True,True,True,True,163.14,350.19,"On March 5, 2005, CBC Television launched a high definition simulcast of its Toronto (CBLT-DT) and M; On March 5, 2005, CBC Television launched a high definition simulcast of its Toronto (CBLT-DT) and M; One of the most popular shows on CBC Television is the weekly Saturday night broadcast of NHL hockey","On March 5, 2005, CBC Television launched a high definition simulcast of its Toronto (CBLT-DT) and M; On March 5, 2005, CBC Television launched a high definition simulcast of its Toronto (CBLT-DT) and M; Most CBC television stations, including those in the major cities, are owned and operated by the CBC",,
Where were starving Han sent by the Qing?,Han Chinese farmers were resettled from north China by the Qing to the area along the Liao River in order to restore the land to cultivation. Wasteland was reclaimed by Han Chinese squatters in additi...,True,True,True,True,176.8,557.98,Han Chinese farmers were resettled from north China by the Qing to the area along the Liao River in ; The Manchus sent Han Bannermen to fight against Koxinga's Ming loyalists in Fujian. The Qing carried; Han Chinese farmers were resettled from north China by the Qing to the area along the Liao River in ,Han Chinese farmers were resettled from north China by the Qing to the area along the Liao River in ; Han Chinese farmers were resettled from north China by the Qing to the area along the Liao River in ; The Manchus sent Han Bannermen to fight against Koxinga's Ming loyalists in Fujian. The Qing carried,,
When was the first paper written about asthma?,"In 1873, one of the first papers in modern medicine on the subject tried to explain the pathophysiology of the disease while one in 1872, concluded that asthma can be cured by rubbing the chest with c...",True,True,True,True,168.28,332.94,"In 1873, one of the first papers in modern medicine on the subject tried to explain the pathophysiol; In 1873, one of the first papers in modern medicine on the subject tried to explain the pathophysiol; While highly effective, the requirement for injection limited the use of norepinephrine[clarificatio","In 1873, one of the first papers in modern medicine on the subject tried to explain the pathophysiol; In 1873, one of the first papers in modern medicine on the subject tried to explain the pathophysiol; In 1873, one of the first papers in modern medicine on the subject tried to explain the pathophysiol",,
Where does the montane zone extend from?,"The Alps are split into five climatic zones, each with different vegetation. The climate, plant life and animal life vary among the different sections or zones of the mountains. The lowest zone is the...",True,True,True,True,167.27,315.36,"The Alps are split into five climatic zones, each with different vegetation. The climate, plant life; The Alps are split into five climatic zones, each with different vegetation. The climate, plant life; The Alps are split into five climatic zones, each with different vegetation. The climate, plant life","The range is mostly located in the United States but extends into southeastern Canada, forming a zon; The Alps are split into five climatic zones, each with different vegetation. The climate, plant life; The Alps are split into five climatic zones, each with different vegetation. The climate, plant life",241.09,593.39
